,customer,invoice_date,qty_shipped,item,description,item_price,customer,industry,contact_owner,lifetime_sales,first_sale,county,market_opportunity,%_market_opp
188,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
189,1HAWOR,2015-01-30,1.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
190,1HAWOR,2015-01-30,3.0,PMNN4409,BATTERY IMP LIION FOR XPR,95.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
191,1HAWOR,2015-01-30,3.0,PMLN7008,MOTO CARRY ACCESSORY-BELT CLIP,10.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
192,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
193,1HAWOR,2015-01-30,1.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
194,1HAWOR,2015-01-30,3.0,PMNN4409,BATTERY IMP LIION FOR XPR,95.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
195,1HAWOR,2015-01-30,3.0,PMLN7008,MOTO CARRY ACCESSORY-BELT CLIP,10.2,1HAWOR,Manufacturing,Kelly Hoek,78468.79,11/01/1999,Ottawa,825673.0,0.309
200,3GRANF,2015-02-13,1.0,AAH03KEF8AA7,CP185  RADIO  VHF  16CH 5W,225.0,3GRANF,Fire & EMS,Keith Johnson,24890.16,11/01/1999,Newaygo,94629.0,0.167
201,3GRANF,2015-02-13,1.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,399.99,3GRANF,Fire & EMS,Keith Johnson,24890.16,11/01/1999,Newaygo,94629.0,0.167
210,1RESCC,2015-01-30,8.0,AAH01QDC9JA2,CP200D UHF 4W ND,420.0,1RESCC,Healthcare,Kelly Hoek,15369.65,11/01/1999,Ottawa,825673.0,0.309
211,1RESCC,2015-01-30,1.0,PMLN6588,MULTI UNIT CHARGER FOR CP200,369.75,1RESCC,Healthcare,Kelly Hoek,15369.65,11/01/1999,Ottawa,825673.0,0.309
212,1KENQF,2015-02-06,1.0,AAH55QDC9LA1,XPR6350 403-470 1-4W 32CH GPS,776.0,1KENQF,Manufacturing,Kelly Hoek,60147.55,9/29/2008,Ottawa,825673.0,0.309
213,1KENQF,2015-02-06,5.0,PMMN4024,REMOTE SPEAKER MIC,72.6,1KENQF,Manufacturing,Kelly Hoek,60147.55,9/29/2008,Ottawa,825673.0,0.309
214,1KENQF,2015-02-06,1.0,WPLN4232,IMPRESS CHARGER 110 VAX,63.0,1KENQF,Manufacturing,Kelly Hoek,60147.55,9/29/2008,Ottawa,825673.0,0.309
215,4VANCS,2015-02-13,1.0,PB47UINT13,PRO-GARD PUSH BUMPER,280.0,4VANCS,Law Enforcement,Tom Gillespie,99481.98,11/01/1999,Van Buren,165946.0,0.257
217,5SPRFD,2015-03-20,5.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,418.4,5SPRFD,Fire & EMS,Keith Johnson,35104.84,11/01/1999,Ottawa,825673.0,0.309
218,5SPRFD,2015-03-20,2.0,PMNN4451,MOTO BATT PACK LIION IP56,16.0,5SPRFD,Fire & EMS,Keith Johnson,35104.84,11/01/1999,Ottawa,825673.0,0.309
223,1COLIS,2015-01-30,1.0,AAM01JNC9JA1,MOTO CM200D 136-174 25W MOBILE,440.0,1COLIS,Construction,Pat McBride,1574.42,11/01/1999,Mason,88198.0,0.362
225,1WYOPD,2015-02-06,12.0,NTN9858,BATTERY PACK NI-MH IMPRES,83.0,1WYOPD,Law Enforcement,Skip Petrovich,20210.41,11/01/1999,Kent,1601574.0,0.421
